title,link,price,likes
TP-LINK TL-WR841N Wireless N300 Home Router - $14.99 AC + FS,https://slickdeals.net/f/13987733-tp-link-tl-wr841n-wireless-n300-home-router-14-99-ac-fs?src=catpagev2,N/A,1
Vulcan 80 Wired Gaming Mechanical Roccat Titan Switch Keyboard with Back Lighting $50,https://slickdeals.net/f/13987586-vulcan-80-wired-gaming-mechanical-roccat-titan-switch-keyboard-with-back-lighting-50?src=catpagev2,$50,1
16GB (2x8GB) XPG GAMMIX D30 DDR4 3600MHz Desktop Memory + $5 Newegg eGC,https://slickdeals.net/f/13984832-xpg-gammix-d30-desktop-memory-series-16gb-2x8gb-ddr4-3600mhz-cl18-black-5-newegg-gift-card-for-74-99-fs?src=catpagev2,$75,31
Linksys Velop Intelligent Mesh WiFi System (refurb): Starting From $54.99 + FS with Prime,https://slickdeals.net/f/13953629-linksys-velop-intelligent-mesh-wifi-system-refurb-starting-from-54-99-fs-with-prime?src=catpagev2,$54.99,20
"Lenovo Flex 14 2 in 1 Notebook, Intel i7, 16GB Memory, 512GB SSD, Windows 10 @ Staples $749.99 $750",https://slickdeals.net/f/13986917-lenovo-flex-14-2-in-1-notebook-intel-i7-16gb-memory-512gb-ssd-windows-10-staples-749-99-750?src=catpagev2,$750,0
Staples Ink $25 off $100 + 25% back $76.98 + $19.24 in rewards,https://slickdeals.net/f/13986134-staples-ink-25-off-100-25-back-76-98-19-24-in-rewards?src=catpagev2,$76.98,2
eBay: XPG GAMMIX D30 Desktop Memory Series: 16GB (2x8GB) DDR4 3000MHz CL16 Black $62.99 + FS,https://slickdeals.net/f/13986323-ebay-xpg-gammix-d30-desktop-memory-series-16gb-2x8gb-ddr4-3000mhz-cl16-black-62-99-fs?src=catpagev2,$62.99,0
Nighthawk X10 Smart Router $249.99,https://slickdeals.net/f/13984937-nighthawk-x10-smart-router-249-99?src=catpagev2,$249.99,5
NETGEAR® AC1900 Nighthawk™ WiFi Range Extender EX7000 $98.99,https://slickdeals.net/f/13985876-netgear-ac1900-nighthawk-wifi-range-extender-ex7000-98-99?src=catpagev2,$98.99,1
"LG 34WL550-B 34"" 21:9 Full HD UltraWide FreeSync HDR10 $299",https://slickdeals.net/f/13984118-lg-34wl550-b-34-21-9-full-hd-ultrawide-freesync-hdr10-299?src=catpagev2,$299.99,23
NordVPN Easter Offer 3-year VPN subscription + 1 year or 1month subscription for FREE $125.64,https://slickdeals.net/f/13954478-nordvpn-easter-offer-3-year-vpn-subscription-1-year-or-1month-subscription-for-free-125-64?src=catpagev2,$125.64,1
Monoprice Maker 3D Printer w/ MK11 DirectDrive Extruder (Open Box),https://slickdeals.net/f/13952147-monoprice-maker-3d-printer-w-mk11-directdrive-extruder-open-box-299-99-free-shipping-via-monoprice?src=catpagev2,$300,31
iPad pro 12.9 WiFi 2020 $947.14,https://slickdeals.net/f/13952297-ipad-pro-12-9-wifi-2020-947-14?src=catpagev2,$947.14,6
"CUK ASUS TUF 506 Gaming Laptop PC (AMD Ryzen 7 4800H CPU, 16GB RAM, 512GB NVMe SSD) $999.99",https://slickdeals.net/f/13951781-cuk-asus-tuf-506-gaming-laptop-pc-amd-ryzen-7-4800h-cpu-16gb-ram-512gb-nvme-ssd-999-99?src=catpagev2,$999.99,28
